Compound Name	Proportion	Count	Total	Score	Truth	Rank
L-glutamic acid	0.8703	5048	5800	Original Adjusted	True Positive	5
L-glutamine major	0.6861	10394	15150	Original Adjusted	True Positive	5
L-glutamine minor 2	0.8432	10076	11950	Original Adjusted	True Positive	5
L-isoleucine	0.8764	14724	16800	Original Adjusted	True Positive	5
L-leucine	0.8866	10950	12350	Original Adjusted	True Positive	5
L-lysine	0.4521	746	1650	Original Adjusted	True Positive	5
L-methionine	0.6615	2150	3250	Original Adjusted	True Positive	5
L-ornithine	0.8076	3634	4500	Original Adjusted	True Positive	5
L-phenylalanine	0.9331	14650	15700	Original Adjusted	True Positive	5
L-proline	0.8897	3292	3700	Original Adjusted	True Positive	5
L-pyroglutamic acid	0.4782	7579	15850	Original Adjusted	True Positive	5
L-serine	0.8805	17038	19350	Original Adjusted	True Positive	5
L-threonine	0.5624	11191	19900	Original Adjusted	True Positive	5
L-tyrosine major	0.4568	2969	6500	Original Adjusted	True Positive	5
L-tyrosine minor	0.6884	1893	2750	Original Adjusted	True Positive	5
L-valine	0.9654	3234	3350	Original Adjusted	True Positive	5
lactic acid	1	1650	1650	Original Adjusted	True Positive	5
oxalic acid	0.8373	6950	8300	Original Adjusted	True Positive	5
sucrose	0.9467	3550	3750	Original Adjusted	True Positive	5
myristic acid	0	0	500	Original Adjusted	True Negative	1
2-hydroxybutyric acid	0	0	850	Original Adjusted	True Negative	1
uracil	0	0	1250	Original Adjusted	True Negative	1
uric acid 1	0	0	300	Original Adjusted	True Negative	1
urea	0.0778	105	1350	Original Adjusted	True Negative	1
isocitric acid	0	0	400	Original Adjusted	True Negative	1
galactonic acid	0	0	100	Original Adjusted	True Negative	1
2-ketocaproic acid	0	0	1300	Original Adjusted	True Negative	1
glycine-d5 deuterated	0	0	2000	Original Adjusted	True Negative	1
catechol	0	0	1600	Original Adjusted	True Negative	1
glyceric acid	0	0	1400	Original Adjusted	True Negative	1
citramalic acid	0	0	450	Original Adjusted	True Negative	1
trans-aconitic acid	0	0	450	Original Adjusted	True Negative	1
fumaric acid	0	0	750	Original Adjusted	True Negative	1
oleic acid	0	0	250	Original Adjusted	True Negative	1
hippuric acid 2	0	0	500	Original Adjusted	True Negative	1
linoleic acid	0	0	200	Original Adjusted	True Negative	1
stearic acid	0.22	55	250	Original Adjusted	True Negative	1
Creatinine	0	0	600	Original Adjusted	True Negative	1
D-mannitol	0	0	1700	Original Adjusted	True Negative	1
DL-3-aminoisobutyric acid 2	0	0	400	Original Adjusted	True Negative	1
norvaline 2	0	0	800	Original Adjusted	True Negative	1
7-methylxanthine	0	0	300	Original Adjusted	True Negative	1
xylitol	0	0	450	Original Adjusted	True Negative	1
iminodiacetic acid 2	0	0	1400	Original Adjusted	True Negative	1
myo-inositol	0	0	150	Original Adjusted	True Negative	1
scyllo-inositol	0	0	300	Original Adjusted	True Negative	1
arabitol	0	0	600	Original Adjusted	True Negative	1
palmitic acid	0	0	50	Original Adjusted	True Negative	1
galactitol	0	0	1250	Original Adjusted	True Negative	1
D-gluconic acid 3	0	0	100	Original Adjusted	True Negative	1
erythritol	0	0	1300	Original Adjusted	True Negative	1
D-threitol	0	0	1700	Original Adjusted	True Negative	1
D-saccharic acid	0	0	250	Original Adjusted	True Negative	1
D-galacturonic acid 1(M)	0	0	1500	Original Adjusted	True Negative	1
IS benzoic acid d5	0	0	9000	Original Adjusted	True Negative	1
IS citric acid d4	0	0	4000	Original Adjusted	True Negative	1
IS D-fructose 13C6 1(M)	2e-04	2	12200	Original Adjusted	True Negative	1
IS D-fructose 13C6 2	0	0	13200	Original Adjusted	True Negative	1
IS L-alanine d7	0.0909	418	4600	Original Adjusted	True Negative	1
IS octanoic acid d15	0	0	9150	Original Adjusted	True Negative	1
IS L-tryptophan d5 1	0	0	3550	Original Adjusted	True Negative	1
IS L-tryptophan d5 2	0.1229	430	3500	Original Adjusted	True Negative	1
N-formylglycine 2	0	0	1050	Original Adjusted	True Negative	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Original Adjusted	True Negative	1
D-ribose	0	0	200	Original Adjusted	True Negative	1
D-xylose 2	0	0	100	Original Adjusted	True Negative	1
D-arabinose	0	0	100	Original Adjusted	True Negative	1
D-lyxose 2	0	0	2550	Original Adjusted	True Negative	1
lactose 2	0	0	50	Original Adjusted	True Negative	1
ribitol	0	0	150	Original Adjusted	True Negative	1
4-hydroxyphenylacetic acid	0	0	2900	Original Adjusted	True Negative	1
citric acid	0	0	400	Original Adjusted	True Negative	1
D-fructose major	0	0	1050	Original Adjusted	True Negative	1
D-fructose minor	0	0	950	Original Adjusted	True Negative	1
D-galactose	0	0	700	Original Adjusted	True Negative	1
D-glucose major	0	0	800	Original Adjusted	True Negative	1
D-glucose minor	0.0667	50	750	Original Adjusted	True Negative	1
D-mannose	0	0	550	Original Adjusted	True Negative	1
ethanolamine	0.0303	50	1650	Original Adjusted	True Negative	1
glycine	0	0	550	Original Adjusted	True Negative	1
L-aspartic acid	0	0	200	Original Adjusted	True Negative	1
L-cysteine	0	0	300	Original Adjusted	True Negative	1
L-glutamic acid	0	0	350	Original Adjusted	True Negative	1
L-glutamine minor 2	0	0	450	Original Adjusted	True Negative	1
L-isoleucine	0	0	650	Original Adjusted	True Negative	1
L-leucine	0	0	400	Original Adjusted	True Negative	1
L-lysine	0	0	650	Original Adjusted	True Negative	1
L-methionine	0	0	350	Original Adjusted	True Negative	1
L-phenylalanine	0	0	250	Original Adjusted	True Negative	1
L-proline	0.0738	48	650	Original Adjusted	True Negative	1
L-pyroglutamic acid	0	0	250	Original Adjusted	True Negative	1
L-serine	0	0	100	Original Adjusted	True Negative	1
L-threonine	0	0	100	Original Adjusted	True Negative	1
L-tyrosine major	0	0	850	Original Adjusted	True Negative	1
L-tyrosine minor	0	0	350	Original Adjusted	True Negative	1
lactic acid	0	0	100	Original Adjusted	True Negative	1
oxalic acid	0	0	800	Original Adjusted	True Negative	1
myristic acid	0	0	500	Original Adjusted	True Negative	5
2-hydroxybutyric acid	0	0	850	Original Adjusted	True Negative	5
uracil	0	0	1250	Original Adjusted	True Negative	5
uric acid 1	0	0	300	Original Adjusted	True Negative	5
urea	0.8556	1155	1350	Original Adjusted	True Negative	5
isocitric acid	0	0	400	Original Adjusted	True Negative	5
galactonic acid	0	0	100	Original Adjusted	True Negative	5
2-ketocaproic acid	0	0	1300	Original Adjusted	True Negative	5
glycine-d5 deuterated	0.044	88	2000	Original Adjusted	True Negative	5
catechol	0	0	1600	Original Adjusted	True Negative	5
glyceric acid	0	0	1400	Original Adjusted	True Negative	5
citramalic acid	0	0	450	Original Adjusted	True Negative	5
trans-aconitic acid	0	0	450	Original Adjusted	True Negative	5
fumaric acid	0	0	750	Original Adjusted	True Negative	5
oleic acid	0	0	250	Original Adjusted	True Negative	5
hippuric acid 2	0	0	500	Original Adjusted	True Negative	5
linoleic acid	0.25	50	200	Original Adjusted	True Negative	5
stearic acid	0.4	100	250	Original Adjusted	True Negative	5
Creatinine	0	0	600	Original Adjusted	True Negative	5
D-mannitol	0	0	1700	Original Adjusted	True Negative	5
DL-3-aminoisobutyric acid 2	0	0	400	Original Adjusted	True Negative	5
norvaline 2	0.285	228	800	Original Adjusted	True Negative	5
7-methylxanthine	0	0	300	Original Adjusted	True Negative	5
xylitol	0	0	450	Original Adjusted	True Negative	5
iminodiacetic acid 2	0	0	1400	Original Adjusted	True Negative	5
myo-inositol	0	0	150	Original Adjusted	True Negative	5
scyllo-inositol	0	0	300	Original Adjusted	True Negative	5
arabitol	0	0	600	Original Adjusted	True Negative	5
palmitic acid	0	0	50	Original Adjusted	True Negative	5
galactitol	0	0	1250	Original Adjusted	True Negative	5
D-gluconic acid 3	0	0	100	Original Adjusted	True Negative	5
erythritol	0	0	1300	Original Adjusted	True Negative	5
D-threitol	0	0	1700	Original Adjusted	True Negative	5
D-saccharic acid	0	0	250	Original Adjusted	True Negative	5
D-galacturonic acid 1(M)	0.03	45	1500	Original Adjusted	True Negative	5
IS benzoic acid d5	0.0111	100	9000	Original Adjusted	True Negative	5
IS citric acid d4	0.0138	55	4000	Original Adjusted	True Negative	5
IS D-fructose 13C6 1(M)	0.0153	187	12200	Original Adjusted	True Negative	5
IS D-fructose 13C6 2	0.0299	395	13200	Original Adjusted	True Negative	5
IS L-alanine d7	0.1848	850	4600	Original Adjusted	True Negative	5
IS octanoic acid d15	0.0272	249	9150	Original Adjusted	True Negative	5
IS L-tryptophan d5 1	0	0	3550	Original Adjusted	True Negative	5
IS L-tryptophan d5 2	0.2571	900	3500	Original Adjusted	True Negative	5
N-formylglycine 2	0	0	1050	Original Adjusted	True Negative	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Original Adjusted	True Negative	5
D-ribose	0	0	200	Original Adjusted	True Negative	5
D-xylose 2	0	0	100	Original Adjusted	True Negative	5
D-arabinose	0	0	100	Original Adjusted	True Negative	5
D-lyxose 2	0	0	2550	Original Adjusted	True Negative	5
lactose 2	0	0	50	Original Adjusted	True Negative	5
ribitol	0	0	150	Original Adjusted	True Negative	5
4-hydroxyphenylacetic acid	0	0	2900	Original Adjusted	True Negative	5
citric acid	0	0	400	Original Adjusted	True Negative	5
D-fructose major	0.0476	50	1050	Original Adjusted	True Negative	5
D-fructose minor	0	0	950	Original Adjusted	True Negative	5
D-galactose	0	0	700	Original Adjusted	True Negative	5
D-glucose major	0.1912	153	800	Original Adjusted	True Negative	5
D-glucose minor	0.2667	200	750	Original Adjusted	True Negative	5
D-mannose	0	0	550	Original Adjusted	True Negative	5
ethanolamine	0.3806	628	1650	Original Adjusted	True Negative	5
glycine	0	0	550	Original Adjusted	True Negative	5
L-aspartic acid	0	0	200	Original Adjusted	True Negative	5
L-cysteine	0	0	300	Original Adjusted	True Negative	5
L-glutamic acid	0	0	350	Original Adjusted	True Negative	5
L-glutamine minor 2	0	0	450	Original Adjusted	True Negative	5
L-isoleucine	0.1538	100	650	Original Adjusted	True Negative	5
L-leucine	0.25	100	400	Original Adjusted	True Negative	5
L-lysine	0	0	650	Original Adjusted	True Negative	5
L-methionine	0	0	350	Original Adjusted	True Negative	5
L-phenylalanine	0	0	250	Original Adjusted	True Negative	5
L-proline	0.1538	100	650	Original Adjusted	True Negative	5
L-pyroglutamic acid	0	0	250	Original Adjusted	True Negative	5
L-serine	0	0	100	Original Adjusted	True Negative	5
L-threonine	0	0	100	Original Adjusted	True Negative	5
L-tyrosine major	0	0	850	Original Adjusted	True Negative	5
L-tyrosine minor	0.28	98	350	Original Adjusted	True Negative	5
lactic acid	0.16	16	100	Original Adjusted	True Negative	5
oxalic acid	0	0	800	Original Adjusted	True Negative	5
phosphoric acid	0.6314	7956	12600	Normal	True Positive	1
propylene glycol	0.8409	1850	2200	Normal	True Positive	1
myristic acid	0	0	10700	Normal	True Positive	1
2-hydroxybutyric acid	0.3065	4000	13050	Normal	True Positive	1
uracil	0.4699	1950	4150	Normal	True Positive	1
uric acid 1	0.33	528	1600	Normal	True Positive	1
urea	0.0277	115	4150	Normal	True Positive	1
isocitric acid	0.1341	228	1700	Normal	True Positive	1
galactonic acid	0.3632	672	1850	Normal	True Positive	1
2-ketocaproic acid	0	0	2350	Normal	True Positive	1
glycine-d5 deuterated	0	0	1600	Normal	True Positive	1
catechol	0.645	1419	2200	Normal	True Positive	1
glyceric acid	0.5703	8526	14950	Normal	True Positive	1
citramalic acid	0	0	3000	Normal	True Positive	1
trans-aconitic acid	0.4417	2650	6000	Normal	True Positive	1
fumaric acid	0.1243	317	2550	Normal	True Positive	1
oleic acid	0.1227	184	1500	Normal	True Positive	1
hippuric acid 2	0.0781	125	1600	Normal	True Positive	1
linoleic acid	0.08	120	1500	Normal	True Positive	1
stearic acid	0.462	693	1500	Normal	True Positive	1
Creatinine	0.0644	937	14550	Normal	True Positive	1
D-mannitol	0.2509	3400	13550	Normal	True Positive	1
DL-3-aminoisobutyric acid 2	0	0	1950	Normal	True Positive	1
norvaline 2	0.0169	54	3200	Normal	True Positive	1
7-methylxanthine	0.3857	1022	2650	Normal	True Positive	1
xylitol	0.0014	19	13900	Normal	True Positive	1
glycerol	0.0704	880	12500	Normal	True Positive	1
carbonate ion	0.2015	2156	10700	Normal	True Positive	1
iminodiacetic acid 2	0.0507	76	1500	Normal	True Positive	1
myo-inositol	0.6923	8100	11700	Normal	True Positive	1
scyllo-inositol	0.2584	3230	12500	Normal	True Positive	1
arabitol	0.0048	10	2100	Normal	True Positive	1
palmitic acid	0.4406	2115	4800	Normal	True Positive	1
galactitol	0.5762	6597	11450	Normal	True Positive	1
D-gluconic acid 3	0.4641	1021	2200	Normal	True Positive	1
erythritol	0.1814	2657	14650	Normal	True Positive	1
D-threitol	0.0153	214	14000	Normal	True Positive	1
D-saccharic acid	0.5938	950	1600	Normal	True Positive	1
D-galacturonic acid 1(M)	0.1529	237	1550	Normal	True Positive	1
IS benzoic acid d5	0.0198	257	12950	Normal	True Positive	1
IS citric acid d4	0	0	2950	Normal	True Positive	1
IS D-fructose 13C6 1(M)	0.0407	116	2850	Normal	True Positive	1
IS D-fructose 13C6 2	0.0227	50	2200	Normal	True Positive	1
IS L-alanine d7	0.8145	11199	13750	Normal	True Positive	1
IS octanoic acid d15	0	0	12700	Normal	True Positive	1
IS L-tryptophan d5 1	0.0016	7	4400	Normal	True Positive	1
IS L-tryptophan d5 2	0.0947	1401	14800	Normal	True Positive	1
N-formylglycine 2	0.2845	441	1550	Normal	True Positive	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	1500	Normal	True Positive	1
D-ribose	0.037	137	3700	Normal	True Positive	1
D-xylose 2	0.2682	1341	5000	Normal	True Positive	1
D-arabinose	0.3518	1583	4500	Normal	True Positive	1
D-lyxose 2	0	0	10400	Normal	True Positive	1
lactose 2	0	0	1600	Normal	True Positive	1
ribitol	0.1335	641	4800	Normal	True Positive	1
4-hydroxyphenylacetic acid	0.0133	26	1950	Normal	True Positive	1
citric acid	2e-04	3	12800	Normal	True Positive	1
D-fructose major	0.005	66	13150	Normal	True Positive	1
D-fructose minor	0.0596	167	2800	Normal	True Positive	1
D-galactose	0.017	52	3050	Normal	True Positive	1
D-glucose major	0.0917	766	8350	Normal	True Positive	1
D-glucose minor	0.0165	250	15150	Normal	True Positive	1
D-mannose	0.223	524	2350	Normal	True Positive	1
ethanolamine	0.038	465	12250	Normal	True Positive	1
glycine	0.1985	1548	7800	Normal	True Positive	1
L-alanine	0.5311	6267	11800	Normal	True Positive	1
L-aspartic acid	0	0	1600	Normal	True Positive	1
L-cysteine	0.0205	40	1950	Normal	True Positive	1
L-glutamic acid	0.5153	2989	5800	Normal	True Positive	1
L-glutamine major	0.1805	2734	15150	Normal	True Positive	1
L-glutamine minor 2	0.129	1542	11950	Normal	True Positive	1
L-isoleucine	0.0585	983	16800	Normal	True Positive	1
L-leucine	0	0	12350	Normal	True Positive	1
L-lysine	0.0267	44	1650	Normal	True Positive	1
L-methionine	0.6615	2150	3250	Normal	True Positive	1
L-ornithine	0.2111	950	4500	Normal	True Positive	1
L-phenylalanine	0.6661	10458	15700	Normal	True Positive	1
L-proline	0	0	3700	Normal	True Positive	1
L-pyroglutamic acid	0.0032	50	15850	Normal	True Positive	1
L-serine	0.151	2921	19350	Normal	True Positive	1
L-threonine	0.4605	9164	19900	Normal	True Positive	1
L-tyrosine major	0.0455	296	6500	Normal	True Positive	1
L-tyrosine minor	0.0644	177	2750	Normal	True Positive	1
L-valine	0.4534	1519	3350	Normal	True Positive	1
lactic acid	0.4636	765	1650	Normal	True Positive	1
oxalic acid	0.6647	5517	8300	Normal	True Positive	1
sucrose	0.4603	1726	3750	Normal	True Positive	1
phosphoric acid	0.9325	11750	12600	Normal	True Positive	5
propylene glycol	1	2200	2200	Normal	True Positive	5
myristic acid	0.8003	8563	10700	Normal	True Positive	5
2-hydroxybutyric acid	0.8918	11638	13050	Normal	True Positive	5
uracil	0.7831	3250	4150	Normal	True Positive	5
uric acid 1	0.45	720	1600	Normal	True Positive	5
urea	0.6749	2801	4150	Normal	True Positive	5
isocitric acid	0.5876	999	1700	Normal	True Positive	5
galactonic acid	0.7368	1363	1850	Normal	True Positive	5
2-ketocaproic acid	0.766	1800	2350	Normal	True Positive	5
glycine-d5 deuterated	0.3825	612	1600	Normal	True Positive	5
catechol	0.9545	2100	2200	Normal	True Positive	5
glyceric acid	0.992	14830	14950	Normal	True Positive	5
citramalic acid	0.7667	2300	3000	Normal	True Positive	5
trans-aconitic acid	0.5667	3400	6000	Normal	True Positive	5
fumaric acid	0.8008	2042	2550	Normal	True Positive	5
oleic acid	0.9593	1439	1500	Normal	True Positive	5
hippuric acid 2	0.2188	350	1600	Normal	True Positive	5
linoleic acid	0.8627	1294	1500	Normal	True Positive	5
stearic acid	0.9307	1396	1500	Normal	True Positive	5
Creatinine	0.699	10170	14550	Normal	True Positive	5
D-mannitol	0.784	10623	13550	Normal	True Positive	5
DL-3-aminoisobutyric acid 2	0.8938	1743	1950	Normal	True Positive	5
norvaline 2	0.9412	3012	3200	Normal	True Positive	5
7-methylxanthine	0.7181	1903	2650	Normal	True Positive	5
xylitol	0.7122	9900	13900	Normal	True Positive	5
glycerol	0.908	11350	12500	Normal	True Positive	5
carbonate ion	0.897	9598	10700	Normal	True Positive	5
iminodiacetic acid 2	0.8333	1250	1500	Normal	True Positive	5
myo-inositol	0.8914	10429	11700	Normal	True Positive	5
scyllo-inositol	0.904	11300	12500	Normal	True Positive	5
arabitol	0.8333	1750	2100	Normal	True Positive	5
palmitic acid	0.8535	4097	4800	Normal	True Positive	5
galactitol	0.8384	9600	11450	Normal	True Positive	5
D-gluconic acid 3	0.8314	1829	2200	Normal	True Positive	5
erythritol	0.686	10050	14650	Normal	True Positive	5
D-threitol	0.8286	11600	14000	Normal	True Positive	5
D-saccharic acid	0.815	1304	1600	Normal	True Positive	5
D-galacturonic acid 1(M)	0.8381	1299	1550	Normal	True Positive	5
IS benzoic acid d5	0.83	10748	12950	Normal	True Positive	5
IS citric acid d4	0.6102	1800	2950	Normal	True Positive	5
IS D-fructose 13C6 1(M)	0.0526	150	2850	Normal	True Positive	5
IS D-fructose 13C6 2	0.2045	450	2200	Normal	True Positive	5
IS L-alanine d7	0.9927	13650	13750	Normal	True Positive	5
IS octanoic acid d15	0.8698	11046	12700	Normal	True Positive	5
IS L-tryptophan d5 1	1	4400	4400	Normal	True Positive	5
IS L-tryptophan d5 2	0.8176	12100	14800	Normal	True Positive	5
N-formylglycine 2	0.8748	1356	1550	Normal	True Positive	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	1	1500	1500	Normal	True Positive	5
D-ribose	0.9486	3510	3700	Normal	True Positive	5
D-xylose 2	0.71	3550	5000	Normal	True Positive	5
D-arabinose	0.4111	1850	4500	Normal	True Positive	5
D-lyxose 2	0.0013	14	10400	Normal	True Positive	5
lactose 2	0	0	1600	Normal	True Positive	5
ribitol	0.5775	2772	4800	Normal	True Positive	5
4-hydroxyphenylacetic acid	0.7949	1550	1950	Normal	True Positive	5
citric acid	0.7993	10231	12800	Normal	True Positive	5
D-fructose major	0.8441	11100	13150	Normal	True Positive	5
D-fructose minor	0.5511	1543	2800	Normal	True Positive	5
D-galactose	0.6377	1945	3050	Normal	True Positive	5
D-glucose major	0.414	3457	8350	Normal	True Positive	5
D-glucose minor	0.5479	8300	15150	Normal	True Positive	5
D-mannose	0.8464	1989	2350	Normal	True Positive	5
ethanolamine	0.8419	10313	12250	Normal	True Positive	5
glycine	0.5678	4429	7800	Normal	True Positive	5
L-alanine	0.9997	11797	11800	Normal	True Positive	5
L-aspartic acid	0.5312	850	1600	Normal	True Positive	5
L-cysteine	0.7692	1500	1950	Normal	True Positive	5
L-glutamic acid	0.8693	5042	5800	Normal	True Positive	5
L-glutamine major	0.6883	10428	15150	Normal	True Positive	5
L-glutamine minor 2	0.8436	10081	11950	Normal	True Positive	5
L-isoleucine	0.8757	14712	16800	Normal	True Positive	5
L-leucine	0.8866	10950	12350	Normal	True Positive	5
L-lysine	0.443	731	1650	Normal	True Positive	5
L-methionine	0.6615	2150	3250	Normal	True Positive	5
L-ornithine	0.8093	3642	4500	Normal	True Positive	5
L-phenylalanine	0.9325	14640	15700	Normal	True Positive	5
L-proline	0.88	3256	3700	Normal	True Positive	5
L-pyroglutamic acid	0.4757	7540	15850	Normal	True Positive	5
L-serine	0.8795	17018	19350	Normal	True Positive	5
L-threonine	0.5631	11205	19900	Normal	True Positive	5
L-tyrosine major	0.4506	2929	6500	Normal	True Positive	5
L-tyrosine minor	0.6844	1882	2750	Normal	True Positive	5
L-valine	0.969	3246	3350	Normal	True Positive	5
lactic acid	1	1650	1650	Normal	True Positive	5
oxalic acid	0.8373	6950	8300	Normal	True Positive	5
sucrose	0.9467	3550	3750	Normal	True Positive	5
myristic acid	0	0	500	Normal	True Negative	1
2-hydroxybutyric acid	0	0	850	Normal	True Negative	1
uracil	0	0	1250	Normal	True Negative	1
uric acid 1	0	0	300	Normal	True Negative	1
urea	0.0763	103	1350	Normal	True Negative	1
isocitric acid	0	0	400	Normal	True Negative	1
galactonic acid	0	0	100	Normal	True Negative	1
2-ketocaproic acid	0	0	1300	Normal	True Negative	1
glycine-d5 deuterated	0	0	2000	Normal	True Negative	1
catechol	0	0	1600	Normal	True Negative	1
glyceric acid	0	0	1400	Normal	True Negative	1
citramalic acid	0	0	450	Normal	True Negative	1
trans-aconitic acid	0	0	450	Normal	True Negative	1
fumaric acid	0	0	750	Normal	True Negative	1
oleic acid	0	0	250	Normal	True Negative	1
hippuric acid 2	0	0	500	Normal	True Negative	1
linoleic acid	0	0	200	Normal	True Negative	1
stearic acid	0.24	60	250	Normal	True Negative	1
Creatinine	0	0	600	Normal	True Negative	1
D-mannitol	0	0	1700	Normal	True Negative	1
DL-3-aminoisobutyric acid 2	0	0	400	Normal	True Negative	1
norvaline 2	0	0	800	Normal	True Negative	1
7-methylxanthine	0	0	300	Normal	True Negative	1
xylitol	0	0	450	Normal	True Negative	1
iminodiacetic acid 2	0	0	1400	Normal	True Negative	1
myo-inositol	0	0	150	Normal	True Negative	1
scyllo-inositol	0	0	300	Normal	True Negative	1
arabitol	0	0	600	Normal	True Negative	1
palmitic acid	0	0	50	Normal	True Negative	1
galactitol	0	0	1250	Normal	True Negative	1
D-gluconic acid 3	0	0	100	Normal	True Negative	1
erythritol	0	0	1300	Normal	True Negative	1
D-threitol	0	0	1700	Normal	True Negative	1
D-saccharic acid	0	0	250	Normal	True Negative	1
D-galacturonic acid 1(M)	0	0	1500	Normal	True Negative	1
IS benzoic acid d5	0	0	9000	Normal	True Negative	1
IS citric acid d4	0	0	4000	Normal	True Negative	1
IS D-fructose 13C6 1(M)	5e-04	6	12200	Normal	True Negative	1
IS D-fructose 13C6 2	0	0	13200	Normal	True Negative	1
IS L-alanine d7	0.0902	415	4600	Normal	True Negative	1
IS octanoic acid d15	0	0	9150	Normal	True Negative	1
IS L-tryptophan d5 1	0	0	3550	Normal	True Negative	1
IS L-tryptophan d5 2	0.1246	436	3500	Normal	True Negative	1
N-formylglycine 2	0	0	1050	Normal	True Negative	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Normal	True Negative	1
D-ribose	0	0	200	Normal	True Negative	1
D-xylose 2	0	0	100	Normal	True Negative	1
D-arabinose	0	0	100	Normal	True Negative	1
D-lyxose 2	0	0	2550	Normal	True Negative	1
lactose 2	0	0	50	Normal	True Negative	1
ribitol	0	0	150	Normal	True Negative	1
4-hydroxyphenylacetic acid	0	0	2900	Normal	True Negative	1
citric acid	0	0	400	Normal	True Negative	1
D-fructose major	0	0	1050	Normal	True Negative	1
D-fructose minor	0	0	950	Normal	True Negative	1
D-galactose	0	0	700	Normal	True Negative	1
D-glucose major	0	0	800	Normal	True Negative	1
D-glucose minor	0.0667	50	750	Normal	True Negative	1
D-mannose	0	0	550	Normal	True Negative	1
ethanolamine	0.0303	50	1650	Normal	True Negative	1
glycine	0	0	550	Normal	True Negative	1
L-aspartic acid	0	0	200	Normal	True Negative	1
L-cysteine	0	0	300	Normal	True Negative	1
L-glutamic acid	0	0	350	Normal	True Negative	1
L-glutamine minor 2	0	0	450	Normal	True Negative	1
L-isoleucine	0	0	650	Normal	True Negative	1
L-leucine	0	0	400	Normal	True Negative	1
L-lysine	0	0	650	Normal	True Negative	1
L-methionine	0	0	350	Normal	True Negative	1
L-phenylalanine	0	0	250	Normal	True Negative	1
L-proline	0.0492	32	650	Normal	True Negative	1
L-pyroglutamic acid	0	0	250	Normal	True Negative	1
L-serine	0	0	100	Normal	True Negative	1
L-threonine	0	0	100	Normal	True Negative	1
L-tyrosine major	0	0	850	Normal	True Negative	1
L-tyrosine minor	0	0	350	Normal	True Negative	1
lactic acid	0	0	100	Normal	True Negative	1
oxalic acid	0	0	800	Normal	True Negative	1
myristic acid	0	0	500	Normal	True Negative	5
2-hydroxybutyric acid	0	0	850	Normal	True Negative	5
uracil	0	0	1250	Normal	True Negative	5
uric acid 1	0	0	300	Normal	True Negative	5
urea	0.8563	1156	1350	Normal	True Negative	5
isocitric acid	0	0	400	Normal	True Negative	5
galactonic acid	0	0	100	Normal	True Negative	5
2-ketocaproic acid	0	0	1300	Normal	True Negative	5
glycine-d5 deuterated	0.042	84	2000	Normal	True Negative	5
catechol	0	0	1600	Normal	True Negative	5
glyceric acid	0	0	1400	Normal	True Negative	5
citramalic acid	0	0	450	Normal	True Negative	5
trans-aconitic acid	0	0	450	Normal	True Negative	5
fumaric acid	0	0	750	Normal	True Negative	5
oleic acid	0	0	250	Normal	True Negative	5
hippuric acid 2	0	0	500	Normal	True Negative	5
linoleic acid	0.25	50	200	Normal	True Negative	5
stearic acid	0.4	100	250	Normal	True Negative	5
Creatinine	0	0	600	Normal	True Negative	5
D-mannitol	0	0	1700	Normal	True Negative	5
DL-3-aminoisobutyric acid 2	0	0	400	Normal	True Negative	5
norvaline 2	0.29	232	800	Normal	True Negative	5
7-methylxanthine	0	0	300	Normal	True Negative	5
xylitol	0	0	450	Normal	True Negative	5
iminodiacetic acid 2	0	0	1400	Normal	True Negative	5
myo-inositol	0	0	150	Normal	True Negative	5
scyllo-inositol	0	0	300	Normal	True Negative	5
arabitol	0	0	600	Normal	True Negative	5
palmitic acid	0	0	50	Normal	True Negative	5
galactitol	0	0	1250	Normal	True Negative	5
D-gluconic acid 3	0	0	100	Normal	True Negative	5
erythritol	0	0	1300	Normal	True Negative	5
D-threitol	0	0	1700	Normal	True Negative	5
D-saccharic acid	0	0	250	Normal	True Negative	5
D-galacturonic acid 1(M)	0.028	42	1500	Normal	True Negative	5
IS benzoic acid d5	0.0111	100	9000	Normal	True Negative	5
IS citric acid d4	0.0135	54	4000	Normal	True Negative	5
IS D-fructose 13C6 1(M)	0.0144	176	12200	Normal	True Negative	5
IS D-fructose 13C6 2	0.0292	386	13200	Normal	True Negative	5
IS L-alanine d7	0.1848	850	4600	Normal	True Negative	5
IS octanoic acid d15	0.0272	249	9150	Normal	True Negative	5
IS L-tryptophan d5 1	0	0	3550	Normal	True Negative	5
IS L-tryptophan d5 2	0.2571	900	3500	Normal	True Negative	5
N-formylglycine 2	0	0	1050	Normal	True Negative	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Normal	True Negative	5
D-ribose	0	0	200	Normal	True Negative	5
D-xylose 2	0	0	100	Normal	True Negative	5
D-arabinose	0	0	100	Normal	True Negative	5
D-lyxose 2	0	0	2550	Normal	True Negative	5
lactose 2	0	0	50	Normal	True Negative	5
ribitol	0	0	150	Normal	True Negative	5
4-hydroxyphenylacetic acid	0	0	2900	Normal	True Negative	5
citric acid	0	0	400	Normal	True Negative	5
D-fructose major	0.0476	50	1050	Normal	True Negative	5
